Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Chen, C., Gao, L., Xie, X., Wang, Z.","56215995200;57211897547;57202850499;56086598300;","Enjoy the most beautiful scene now: a memetic algorithm to solve two-fold time-dependent arc orienteering problem",2020,"Frontiers of Computer Science","14","2",,"364","377",,,"10.1007/s11704-019-8364-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071482110&doi=10.1007%2fs11704-019-8364-1&partnerID=40&md5=3d852f9581f305aa37072b8560f58eea",Article,"Final",,Scopus,2-s2.0-85071482110
"Zhao, D., Thakur, N., Chen, J.","55295888300;57212199805;56044368500;","Optimal Design of Energy Storage System to Buffer Charging Infrastructure in Smart Cities",2020,"Journal of Management in Engineering","36","2", 04019048,"","",,,"10.1061/(ASCE)ME.1943-5479.0000742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076135063&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000742&partnerID=40&md5=633e857c67b576fbe6e2b7c48b4003e4",Article,"Final",,Scopus,2-s2.0-85076135063
"Thakuriah, P.V., Sila-Nowicka, K., Hong, J., Boididou, C., Osborne, M., Lido, C., McHugh, A.","6602676523;56928301700;55548681100;57191409236;26638880400;23991365500;14054563100;","Integrated Multimedia City Data (iMCD): A composite survey and sensing approach to understanding urban living and mobility",2020,"Computers, Environment and Urban Systems","80",, 101427,"","",,,"10.1016/j.compenvurbsys.2019.101427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075629092&doi=10.1016%2fj.compenvurbsys.2019.101427&partnerID=40&md5=7c109f4e3f4e80c0b5e44f863443acd9",Article,"Final",Open Access,Scopus,2-s2.0-85075629092
"Francisco, A., Mohammadi, N., Taylor, J.E.","57200534859;56704718500;55741147200;","Smart City Digital Twin-Enabled Energy Management: Toward Real-Time Urban Building Energy Benchmarking",2020,"Journal of Management in Engineering","36","2", 04019045,"","",,,"10.1061/(ASCE)ME.1943-5479.0000741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075830608&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000741&partnerID=40&md5=e78facc40a0f8731f14f999081beb078",Article,"Final",,Scopus,2-s2.0-85075830608
"Ruhlandt, R.W.S., Levitt, R., Jain, R., Hall, D.","57202603541;7102848199;54968992700;57202684927;","Drivers of Data and Analytics Utilization within (Smart) Cities: A Multimethod Approach",2020,"Journal of Management in Engineering","36","2", 04019050,"","",,,"10.1061/(ASCE)ME.1943-5479.0000762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076358985&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000762&partnerID=40&md5=4f764e7a9d2e8cd1aaa1c09a97341014",Article,"Final",,Scopus,2-s2.0-85076358985
"Naha, R.K., Garg, S., Chan, A., Battula, S.K.","56841650300;55365934100;28767455500;57210022033;","Deadline-based dynamic resource allocation and provisioning algorithms in Fog-Cloud environment",2020,"Future Generation Computer Systems","104",,,"131","141",,,"10.1016/j.future.2019.10.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074235940&doi=10.1016%2fj.future.2019.10.018&partnerID=40&md5=ecac705bba99c5266ebd71f01e137dbe",Article,"Final",,Scopus,2-s2.0-85074235940
"Balta, M., Özçeli̇k, İ.","56040056900;6603220008;","A 3-stage fuzzy-decision tree model for traffic signal optimization in urban city via a SDN based VANET architecture",2020,"Future Generation Computer Systems","104",,,"142","158",,,"10.1016/j.future.2019.10.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074372624&doi=10.1016%2fj.future.2019.10.020&partnerID=40&md5=51f5dd994e50fe7560098dd873f2e586",Article,"Final",,Scopus,2-s2.0-85074372624
"Huang, L., Zhai, C., Wang, H., Zhang, R., Qiu, Z., Wu, J.","55571085500;57212227875;36130681900;7404864225;16679374500;57211842273;","Cooperative Adaptive Cruise Control and exhaust emission evaluation under heterogeneous connected vehicle network environment in urban city",2020,"Journal of Environmental Management","256",, 109975,"","",,,"10.1016/j.jenvman.2019.109975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076255928&doi=10.1016%2fj.jenvman.2019.109975&partnerID=40&md5=23215aaacff0a45f886913bb1800c29b",Article,"Final",,Scopus,2-s2.0-85076255928
"Deveci, M., Pekaslan, D., Canıtez, F.","55734383000;57204350376;57201323952;","The assessment of smart city projects using zSlice type-2 fuzzy sets based Interval Agreement Method",2020,"Sustainable Cities and Society","53",, 101889,"","",,,"10.1016/j.scs.2019.101889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075324062&doi=10.1016%2fj.scs.2019.101889&partnerID=40&md5=faf5bd9cda3cf072b49f0697e27a51a7",Article,"Final",,Scopus,2-s2.0-85075324062
"Nicolas, C., Kim, J., Chi, S.","57211907649;57194707212;15073984400;","Quantifying the dynamic effects of smart city development enablers using structural equation modeling",2020,"Sustainable Cities and Society","53",, 101916,"","",,,"10.1016/j.scs.2019.101916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075300622&doi=10.1016%2fj.scs.2019.101916&partnerID=40&md5=5f9c691dee3ddf3e8e5d7c010e6798b3",Article,"Final",,Scopus,2-s2.0-85075300622
